City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
304,Newala,TZ,-10.9431,39.2787,65.12,92,39,4.45,scattered clouds
305,Fort Nelson,CA,58.8053,-122.7002,15.39,64,100,5.75,light snow
306,Dingle,PH,10.9995,122.6711,77.41,92,100,7.92,overcast clouds
307,Khatanga,RU,71.9667,102.5,0.1,98,100,3.83,light snow
308,Korla,CN,41.7597,86.1469,22.53,35,100,1.28,overcast clouds
309,Chesma,RU,53.8111,60.6533,11.12,94,100,10.42,light snow
310,Imbituba,BR,-28.24,-48.6703,72.5,99,100,4.7,overcast clouds
311,Siirt,TR,37.9326,41.9403,43.81,64,11,2.1,few clouds
312,Esperance,AU,-33.8667,121.9,64.29,73,100,12.21,overcast clouds
313,Khasan,RU,42.4308,130.6434,23.52,40,0,15.48,clear sky
314,Aykhal,RU,66.0,111.5,-12.98,97,100,20.27,overcast clouds
315,Mikhaylovka,RU,50.06,43.2379,9.79,77,1,5.97,clear sky
316,Qaanaaq,GL,77.484,-69.3632,1.42,69,100,8.63,overcast clouds
317,Touros,BR,-5.1989,-35.4608,77.92,76,9,12.95,clear sky
318,Carauari,BR,-4.8828,-66.8958,74.68,90,9,2.19,clear sky
319,Iskateley,RU,67.6803,53.1512,5.31,87,21,9.57,few clouds
320,Sao Cristovao,BR,-11.0147,-37.2064,76.91,83,40,11.5,scattered clouds
321,Muroto,JP,33.2833,134.15,57.36,60,69,1.66,broken clouds
322,Niquero,CU,20.0431,-77.5828,75.76,63,1,20.4,clear sky
323,Avera,US,33.194,-82.5271,55.38,56,99,4.56,overcast clouds
324,Talaya,RU,61.3833,152.75,-22.56,97,100,1.14,overcast clouds
325,Beringovskiy,RU,63.05,179.3167,6.64,82,83,8.59,broken clouds
326,Lac Du Bonnet,CA,50.2536,-96.0612,25.16,90,100,12.15,overcast clouds
327,Sobradinho,BR,-12.8333,-39.1,69.37,98,84,3.53,broken clouds
328,Salalah,OM,17.0151,54.0924,73.49,78,20,5.75,few clouds
329,Anadyr,RU,64.75,177.4833,9.1,84,20,35.79,few clouds
330,Nanchang,CN,28.6833,115.8833,43.39,83,100,9.62,overcast clouds
331,Kayankulam,IN,9.1833,76.5,75.96,89,97,4.94,light rain
332,Champoton,MX,19.35,-90.7167,76.62,82,58,7.83,broken clouds
333,Guerrero Negro,MX,27.9769,-114.0611,64.18,81,100,11.43,overcast clouds
334,Kamina,CD,-8.7386,24.9906,62.28,99,100,4.97,light rain
335,Perundurai,IN,11.2667,77.5833,71.91,90,66,4.68,broken clouds
336,Pitimbu,BR,-7.4706,-34.8086,79.39,81,17,11.52,few clouds
337,Bayan,CN,46.0833,127.4,5.09,76,6,9.24,clear sky
338,Kruisfontein,ZA,-34.0033,24.7314,56.88,86,97,7.7,light rain
339,Rio Grande,BR,-32.035,-52.0986,68.29,92,0,9.15,clear sky
340,Garowe,SO,8.4054,48.4845,66.61,72,89,7.47,overcast clouds
341,Elizabeth City,US,36.2946,-76.2511,42.8,75,0,9.22,clear sky
342,Marrakesh,MA,31.6315,-8.0083,53.67,71,40,5.75,scattered clouds
343,Gondomar,PT,41.1445,-8.5322,51.24,84,0,13.0,clear sky
